PERIODO;FECHA;TIPO_VISITAS;VISITAS
201602;06/02/2016;JUBILADOS;0
201602;06/02/2016;MENORES;0
201602;06/02/2016;UNIV. RESIDENTES;0
201602;06/02/2016;RESIDENTES;449
201602;06/02/2016;GENERAL;512
201602;07/02/2016;DISC. ACOMPAÑANTE;0
201602;07/02/2016;DISCAPACITADOS;0
201602;07/02/2016;ESCUELAS PRIVADAS;0
201602;07/02/2016;ESCUELAS PUBLICAS;0
201602;07/02/2016;EXTRANJEROS;0
201602;07/02/2016;GUIA ACOMPAÑANTE;0
201602;07/02/2016;INVITACION;0
201602;07/02/2016;JUBILADOS;0
201602;07/02/2016;MENORES;0
201602;07/02/2016;UNIV. RESIDENTES;0
201602;07/02/2016;GENERAL;306
201602;07/02/2016;RESIDENTES;586
201602;08/02/2016;DISC. ACOMPAÑANTE;0
201602;08/02/2016;DISCAPACITADOS;0
201602;08/02/2016;ESCUELAS PRIVADAS;0
201602;08/02/2016;ESCUELAS PUBLICAS;0
201602;08/02/2016;EXTRANJEROS;0
201602;08/02/2016;GUIA ACOMPAÑANTE;0
201602;08/02/2016;INVITACION;0
201602;08/02/2016;MENORES;0
201602;08/02/2016;UNIV. RESIDENTES;32
201602;08/02/2016;JUBILADOS;76
201602;08/02/2016;RESIDENTES;456
201602;08/02/2016;GENERAL;615
201602;09/02/2016;DISC. ACOMPAÑANTE;0
201602;09/02/2016;DISCAPACITADOS;0
201602;09/02/2016;ESCUELAS PRIVADAS;0
201602;09/02/2016;ESCUELAS PUBLICAS;0
201602;09/02/2016;EXTRANJEROS;0
201602;09/02/2016;GUIA ACOMPAÑANTE;0
201602;09/02/2016;INVITACION;0
201602;09/02/2016;JUBILADOS;0
201602;09/02/2016;MENORES;0
201602;09/02/2016;UNIV. RESIDENTES;0
201602;09/02/2016;GENERAL;579
201602;09/02/2016;RESIDENTES;605
201602;10/02/2016;DISC. ACOMPAÑANTE;0
201602;10/02/2016;DISCAPACITADOS;0
201602;10/02/2016;ESCUELAS PRIVADAS;0
201602;10/02/2016;ESCUELAS PUBLICAS;0
201602;10/02/2016;EXTRANJEROS;0
201602;10/02/2016;GUIA ACOMPAÑANTE;0
201602;10/02/2016;INVITACION;0
201602;10/02/2016;JUBILADOS;0
201602;10/02/2016;MENORES;0
201602;10/02/2016;UNIV. RESIDENTES;0
201602;10/02/2016;RESIDENTES;245
201602;10/02/2016;GENERAL;584
201602;11/02/2016;DISC. ACOMPAÑANTE;0
201602;11/02/2016;DISCAPACITADOS;0
201602;11/02/2016;ESCUELAS PRIVADAS;0
201602;11/02/2016;ESCUELAS PUBLICAS;0
201602;11/02/2016;EXTRANJEROS;0
201602;11/02/2016;GUIA ACOMPAÑANTE;0
201602;11/02/2016;INVITACION;0
201602;11/02/2016;JUBILADOS;0
201602;11/02/2016;MENORES;0
201602;11/02/2016;UNIV. RESIDENTES;0
201602;11/02/2016;RESIDENTES;277
201602;11/02/2016;GENERAL;486
201602;12/02/2016;DISC. ACOMPAÑANTE;0
201602;12/02/2016;DISCAPACITADOS;0
201602;12/02/2016;ESCUELAS PRIVADAS;0
201602;12/02/2016;ESCUELAS PUBLICAS;0
201602;12/02/2016;EXTRANJEROS;0
201602;12/02/2016;GUIA ACOMPAÑANTE;0
201602;12/02/2016;INVITACION;0
201602;12/02/2016;MENORES;0
201602;12/02/2016;UNIV. RESIDENTES;0
201602;12/02/2016;JUBILADOS;1
201602;12/02/2016;RESIDENTES;254
201602;12/02/2016;GENERAL;599
201602;13/02/2016;DISC. ACOMPAÑANTE;0
201602;13/02/2016;DISCAPACITADOS;0
201602;13/02/2016;ESCUELAS PRIVADAS;0
201602;13/02/2016;ESCUELAS PUBLICAS;0
201602;13/02/2016;EXTRANJEROS;0
201602;13/02/2016;GUIA ACOMPAÑANTE;0
201602;13/02/2016;INVITACION;0
201602;13/02/2016;JUBILADOS;0
201602;13/02/2016;MENORES;0
201602;13/02/2016;UNIV. RESIDENTES;0
201602;13/02/2016;RESIDENTES;361
201602;13/02/2016;GENERAL;458
201602;14/02/2016;DISC. ACOMPAÑANTE;0
201602;14/02/2016;DISCAPACITADOS;0
201602;14/02/2016;ESCUELAS PRIVADAS;0
201602;14/02/2016;ESCUELAS PUBLICAS;0
201602;14/02/2016;EXTRANJEROS;0
201602;14/02/2016;GUIA ACOMPAÑANTE;0
201602;14/02/2016;INVITACION;0
201602;14/02/2016;JUBILADOS;0
201602;14/02/2016;MENORES;0
201602;14/02/2016;UNIV. RESIDENTES;0
201602;14/02/2016;RESIDENTES;366
201602;14/02/2016;GENERAL;368
201602;15/02/2016;DISC. ACOMPAÑANTE;0
201602;15/02/2016;DISCAPACITADOS;0
201602;15/02/2016;ESCUELAS PRIVADAS;0
201602;15/02/2016;ESCUELAS PUBLICAS;0
201602;15/02/2016;EXTRANJEROS;0
201602;15/02/2016;GUIA ACOMPAÑANTE;0
201602;15/02/2016;INVITACION;0
201602;15/02/2016;MENORES;0
201602;15/02/2016;UNIV. RESIDENTES;9
201602;15/02/2016;JUBILADOS;46
201602;15/02/2016;RESIDENTES;224
201602;15/02/2016;GENERAL;512
201602;16/02/2016;DISC. ACOMPAÑANTE;0
201602;16/02/2016;DISCAPACITADOS;0
201602;16/02/2016;ESCUELAS PRIVADAS;0
201602;16/02/2016;ESCUELAS PUBLICAS;0
201602;16/02/2016;EXTRANJEROS;0
201602;16/02/2016;GUIA ACOMPAÑANTE;0
201602;16/02/2016;INVITACION;0
201602;16/02/2016;JUBILADOS;0
201602;16/02/2016;MENORES;0
201602;16/02/2016;UNIV. RESIDENTES;0
201602;16/02/2016;RESIDENTES;176
201602;16/02/2016;GENERAL;528
201602;17/02/2016;DISC. ACOMPAÑANTE;0
201602;17/02/2016;DISCAPACITADOS;0
201602;17/02/2016;ESCUELAS PRIVADAS;0
201602;17/02/2016;ESCUELAS PUBLICAS;0
201602;17/02/2016;EXTRANJEROS;0
201602;17/02/2016;GUIA ACOMPAÑANTE;0
201602;17/02/2016;INVITACION;0
201602;17/02/2016;JUBILADOS;0
201602;17/02/2016;MENORES;0
201602;17/02/2016;UNIV. RESIDENTES;0
201602;17/02/2016;RESIDENTES;159
201602;17/02/2016;GENERAL;495
201602;18/02/2016;DISC. ACOMPAÑANTE;0
201602;18/02/2016;DISCAPACITADOS;0
201602;18/02/2016;ESCUELAS PRIVADAS;0
201602;18/02/2016;ESCUELAS PUBLICAS;0
201602;18/02/2016;EXTRANJEROS;0
201602;18/02/2016;GUIA ACOMPAÑANTE;0
201602;18/02/2016;INVITACION;0
201602;18/02/2016;JUBILADOS;0
201602;18/02/2016;MENORES;0
201602;18/02/2016;UNIV. RESIDENTES;0
201602;18/02/2016;RESIDENTES;208
201602;18/02/2016;GENERAL;292
201602;19/02/2016;DISC. ACOMPAÑANTE;0
201602;19/02/2016;DISCAPACITADOS;0
201602;19/02/2016;ESCUELAS PRIVADAS;0
201602;19/02/2016;ESCUELAS PUBLICAS;0
201602;19/02/2016;EXTRANJEROS;0
201602;19/02/2016;GUIA ACOMPAÑANTE;0
201602;19/02/2016;INVITACION;0
201602;19/02/2016;JUBILADOS;0
201602;19/02/2016;MENORES;0
201602;19/02/2016;UNIV. RESIDENTES;0
201602;19/02/2016;RESIDENTES;236
201602;19/02/2016;GENERAL;662
201602;20/02/2016;DISC. ACOMPAÑANTE;0
201602;20/02/2016;DISCAPACITADOS;0
