"Origen","Destino","Booking"
"Buenos Aires, Argentina","La Rioja, Argentina",777
"Buenos Aires, Argentina","Laboulaye, Argentina",7
"Buenos Aires, Argentina","Laprida, Argentina",2
"Buenos Aires, Argentina","Las Flores, Argentina",3
"Buenos Aires, Argentina","Las Grutas, Argentina",12
"Buenos Aires, Argentina","Las Toninas, Argentina",35
"Buenos Aires, Argentina","Leandro N. Alem, Argentina",1
"Buenos Aires, Argentina","Lincoln, Argentina",14
"Buenos Aires, Argentina","Macachin, Argentina",1
"Buenos Aires, Argentina","Mar De Ajo, Argentina",113
"Buenos Aires, Argentina","Mar Del Plata, Argentina",5310
"Buenos Aires, Argentina","Mar Del Tuyu, Argentina",89
"Buenos Aires, Argentina","Marcos Juarez, Argentina",1
"Buenos Aires, Argentina","Mendoza, Argentina",16582
"Buenos Aires, Argentina","Mercedes, Argentina",4
"Buenos Aires, Argentina","Merlo, Argentina",79
"Buenos Aires, Argentina","Mina Clavero, Argentina",19
"Buenos Aires, Argentina","Miramar, Argentina",165
"Buenos Aires, Argentina","Monte Hermoso, Argentina",31
"Buenos Aires, Argentina","Montecarlo, Argentina",7
"Buenos Aires, Argentina","Monteros, Argentina",6
"Buenos Aires, Argentina","Necochea, Argentina",156
"Buenos Aires, Argentina","Neuquen, Argentina",8033
"Buenos Aires, Argentina","Nono, Argentina",2
"Buenos Aires, Argentina","Obera, Argentina",18
"Buenos Aires, Argentina","Olavarria, Argentina",149
"Buenos Aires, Argentina","Parana, Argentina",729
"Buenos Aires, Argentina","Paso De Los Libres, Argentina",10
"Buenos Aires, Argentina","Pergamino, Argentina",23
"Buenos Aires, Argentina","Piedra Del Aguila, Argentina",1
"Buenos Aires, Argentina","Pilar, Argentina",2
"Buenos Aires, Argentina","Pinamar, Argentina",651
"Buenos Aires, Argentina","Plottier, Argentina",4
"Buenos Aires, Argentina","Posadas, Argentina",3680
"Buenos Aires, Argentina","Presidencia Roque Saenz Pe§a, Argentina",5
"Buenos Aires, Argentina","Presidencia Roque Saenz Pena, Argentina",5
"Buenos Aires, Argentina","Puan, Argentina",2
"Buenos Aires, Argentina","Puerto Esperanza, Argentina",4
"Buenos Aires, Argentina","Puerto Iguazu, Argentina",22920
"Buenos Aires, Argentina","Puerto Madryn, Argentina",1458
"Buenos Aires, Argentina","Puerto Rico, Argentina",5
"Buenos Aires, Argentina","Punta Alta, Argentina",38
