PERIODO;ORIGENFECHA;ORIGENESTACIONID;ORIGENNOMBRE;DESTINOFECHA;DESTINOESTACIONID;DESTINONOMBRE;TIEMPOUSO
2010;30/12/2010 10:54;7;PLAZA ROMA;30/12/2010 12:44;6;DERECHO;110
2010;30/12/2010 10:52;6;DERECHO;30/12/2010 11:03;3;RETIRO;11
2010;30/12/2010 10:51;3;RETIRO;30/12/2010 10:59;7;PLAZA ROMA;8
2010;30/12/2010 10:50;6;DERECHO;30/12/2010 10:51;6;DERECHO;1
2010;30/12/2010 10:49;7;PLAZA ROMA;30/12/2010 11:50;3;RETIRO;61
2010;30/12/2010 10:37;5;ADUANA;30/12/2010 11:45;5;ADUANA;68
2010;30/12/2010 10:34;5;ADUANA;30/12/2010 12:42;5;ADUANA;128
2010;30/12/2010 10:33;5;ADUANA;30/12/2010 12:41;5;ADUANA;128
2010;30/12/2010 10:26;3;RETIRO;30/12/2010 11:34;5;ADUANA;67
2010;30/12/2010 10:26;3;RETIRO;30/12/2010 10:39;5;ADUANA;13
2010;30/12/2010 10:21;3;RETIRO;30/12/2010 11:18;3;RETIRO;56
2010;30/12/2010 10:10;5;ADUANA;30/12/2010 11:04;3;RETIRO;54
2010;30/12/2010 10:05;3;RETIRO;30/12/2010 11:06;7;PLAZA ROMA;61
2010;30/12/2010 9:57;3;RETIRO;30/12/2010 10:17;5;ADUANA;19
2010;30/12/2010 9:55;3;RETIRO;30/12/2010 11:45;3;RETIRO;110
2010;30/12/2010 9:51;5;ADUANA;30/12/2010 10:51;7;PLAZA ROMA;60
2010;30/12/2010 9:42;5;ADUANA;30/12/2010 10:02;6;DERECHO;20
2010;30/12/2010 9:41;3;RETIRO;30/12/2010 9:57;5;ADUANA;15
2010;30/12/2010 9:41;3;RETIRO;30/12/2010 9:55;5;ADUANA;14
2010;30/12/2010 9:40;3;RETIRO;30/12/2010 9:47;7;PLAZA ROMA;7
2010;30/12/2010 9:40;7;PLAZA ROMA;30/12/2010 11:24;7;PLAZA ROMA;104
2010;30/12/2010 9:39;3;RETIRO;30/12/2010 9:54;5;ADUANA;15
2010;30/12/2010 9:30;3;RETIRO;30/12/2010 9:41;7;PLAZA ROMA;10
2010;30/12/2010 9:28;3;RETIRO;30/12/2010 9:40;7;PLAZA ROMA;11
2010;30/12/2010 9:27;3;RETIRO;30/12/2010 10:03;7;PLAZA ROMA;36
2010;30/12/2010 9:25;3;RETIRO;30/12/2010 9:55;5;ADUANA;30
2010;30/12/2010 9:21;6;DERECHO;30/12/2010 9:32;6;DERECHO;11
2010;30/12/2010 9:20;3;RETIRO;30/12/2010 9:40;5;ADUANA;20
2010;30/12/2010 9:18;3;RETIRO;30/12/2010 9:32;5;ADUANA;14
2010;30/12/2010 9:07;3;RETIRO;30/12/2010 9:16;7;PLAZA ROMA;9
2010;30/12/2010 9:01;3;RETIRO;30/12/2010 9:08;7;PLAZA ROMA;7
2010;30/12/2010 9:01;6;DERECHO;30/12/2010 10:48;6;DERECHO;107
2010;30/12/2010 9:01;3;RETIRO;30/12/2010 9:14;5;ADUANA;14
2010;30/12/2010 9:00;7;PLAZA ROMA;30/12/2010 9:01;7;PLAZA ROMA;1
2010;30/12/2010 8:59;7;PLAZA ROMA;30/12/2010 9:04;7;PLAZA ROMA;5
2010;30/12/2010 8:53;3;RETIRO;30/12/2010 9:07;5;ADUANA;14
2010;30/12/2010 8:53;5;ADUANA;30/12/2010 11:30;5;ADUANA;157
2010;30/12/2010 8:52;3;RETIRO;30/12/2010 9:03;7;PLAZA ROMA;11
2010;30/12/2010 8:49;3;RETIRO;30/12/2010 9:06;7;PLAZA ROMA;17
2010;30/12/2010 8:41;3;RETIRO;30/12/2010 8:51;7;PLAZA ROMA;10
2010;30/12/2010 8:39;6;DERECHO;30/12/2010 8:59;6;DERECHO;19
2010;30/12/2010 8:37;6;DERECHO;30/12/2010 8:47;3;RETIRO;10
2010;30/12/2010 8:34;3;RETIRO;30/12/2010 8:44;5;ADUANA;10
2010;30/12/2010 8:29;5;ADUANA;30/12/2010 8:55;3;RETIRO;26
2010;30/12/2010 8:29;5;ADUANA;30/12/2010 8:54;3;RETIRO;25
2010;30/12/2010 8:28;5;ADUANA;30/12/2010 8:55;3;RETIRO;27
2010;30/12/2010 8:13;3;RETIRO;30/12/2010 11:34;7;PLAZA ROMA;201
2010;30/12/2010 7:58;5;ADUANA;30/12/2010 9:39;5;ADUANA;101
2010;30/12/2010 7:58;3;RETIRO;30/12/2010 8:29;7;PLAZA ROMA;31
2010;30/12/2010 7:52;3;RETIRO;30/12/2010 8:13;5;ADUANA;21
2010;30/12/2010 7:50;3;RETIRO;30/12/2010 8:01;7;PLAZA ROMA;11
2010;30/12/2010 7:48;3;RETIRO;30/12/2010 7:59;7;PLAZA ROMA;11
2010;30/12/2010 7:38;3;RETIRO;30/12/2010 7:51;5;ADUANA;13
2010;30/12/2010 7:37;3;RETIRO;30/12/2010 8:30;6;DERECHO;53
2010;29/12/2010 19:48;5;ADUANA;29/12/2010 20:07;3;RETIRO;19
2010;29/12/2010 19:46;7;PLAZA ROMA;29/12/2010 19:55;3;RETIRO;10
2010;29/12/2010 19:45;7;PLAZA ROMA;29/12/2010 19:53;3;RETIRO;8
2010;29/12/2010 19:43;6;DERECHO;29/12/2010 19:51;3;RETIRO;8
2010;29/12/2010 19:37;5;ADUANA;29/12/2010 19:48;3;RETIRO;11
2010;29/12/2010 19:30;7;PLAZA ROMA;29/12/2010 19:37;3;RETIRO;7
2010;29/12/2010 19:23;5;ADUANA;29/12/2010 19:57;6;DERECHO;35
2010;29/12/2010 19:19;5;ADUANA;29/12/2010 19:34;3;RETIRO;14
2010;29/12/2010 19:17;7;PLAZA ROMA;29/12/2010 19:24;3;RETIRO;6
2010;29/12/2010 19:14;7;PLAZA ROMA;29/12/2010 19:16;7;PLAZA ROMA;2
2010;29/12/2010 19:07;6;DERECHO;29/12/2010 19:46;6;DERECHO;39
2010;29/12/2010 19:04;6;DERECHO;29/12/2010 19:47;6;DERECHO;44
2010;29/12/2010 19:03;6;DERECHO;29/12/2010 19:47;6;DERECHO;44
2010;29/12/2010 18:56;5;ADUANA;29/12/2010 19:12;3;RETIRO;16
2010;29/12/2010 18:52;3;RETIRO;29/12/2010 19:17;5;ADUANA;24
2010;29/12/2010 18:49;7;PLAZA ROMA;29/12/2010 18:55;3;RETIRO;6
2010;29/12/2010 18:39;5;ADUANA;29/12/2010 18:52;3;RETIRO;13
2010;29/12/2010 18:37;3;RETIRO;29/12/2010 18:48;6;DERECHO;11
2010;29/12/2010 18:36;3;RETIRO;29/12/2010 18:48;7;PLAZA ROMA;12
2010;29/12/2010 18:35;5;ADUANA;29/12/2010 19:50;3;RETIRO;75
2010;29/12/2010 18:34;5;ADUANA;29/12/2010 18:59;3;RETIRO;24
2010;29/12/2010 18:33;5;ADUANA;29/12/2010 18:55;3;RETIRO;21
2010;29/12/2010 18:33;5;ADUANA;29/12/2010 18:54;3;RETIRO;21
2010;29/12/2010 18:31;6;DERECHO;29/12/2010 18:39;3;RETIRO;8
2010;29/12/2010 18:26;7;PLAZA ROMA;29/12/2010 18:36;3;RETIRO;10
2010;29/12/2010 18:24;5;ADUANA;29/12/2010 18:55;3;RETIRO;31
2010;29/12/2010 18:24;5;ADUANA;29/12/2010 18:50;6;DERECHO;26
2010;29/12/2010 18:23;5;ADUANA;29/12/2010 18:53;3;RETIRO;31
2010;29/12/2010 18:19;7;PLAZA ROMA;29/12/2010 18:34;6;DERECHO;16
2010;29/12/2010 18:18;3;RETIRO;29/12/2010 18:25;6;DERECHO;7
2010;29/12/2010 18:12;3;RETIRO;29/12/2010 18:18;6;DERECHO;6
2010;29/12/2010 18:10;5;ADUANA;29/12/2010 18:30;3;RETIRO;20
2010;29/12/2010 18:09;7;PLAZA ROMA;29/12/2010 18:14;3;RETIRO;5
2010;29/12/2010 18:08;7;PLAZA ROMA;29/12/2010 18:19;3;RETIRO;11
2010;29/12/2010 18:08;7;PLAZA ROMA;29/12/2010 19:05;7;PLAZA ROMA;58
2010;29/12/2010 18:04;5;ADUANA;29/12/2010 18:26;3;RETIRO;22
2010;29/12/2010 18:03;7;PLAZA ROMA;29/12/2010 18:19;6;DERECHO;16
2010;29/12/2010 18:03;7;PLAZA ROMA;29/12/2010 18:20;6;DERECHO;17
2010;29/12/2010 18:02;5;ADUANA;29/12/2010 18:18;3;RETIRO;17
2010;29/12/2010 18:00;5;ADUANA;29/12/2010 18:16;3;RETIRO;16
2010;29/12/2010 18:00;7;PLAZA ROMA;29/12/2010 18:07;5;ADUANA;7
2010;29/12/2010 17:59;7;PLAZA ROMA;29/12/2010 18:09;3;RETIRO;10
2010;29/12/2010 17:55;5;ADUANA;29/12/2010 18:10;3;RETIRO;15
2010;29/12/2010 17:55;7;PLAZA ROMA;29/12/2010 18:10;6;DERECHO;14
2010;29/12/2010 17:51;5;ADUANA;29/12/2010 18:17;3;RETIRO;26
2010;29/12/2010 17:49;7;PLAZA ROMA;29/12/2010 18:05;6;DERECHO;16
2010;29/12/2010 17:43;5;ADUANA;29/12/2010 17:53;3;RETIRO;11
2010;29/12/2010 17:38;3;RETIRO;29/12/2010 19:17;3;RETIRO;98
2010;29/12/2010 17:37;3;RETIRO;29/12/2010 19:17;3;RETIRO;100
2010;29/12/2010 17:36;3;RETIRO;29/12/2010 19:18;3;RETIRO;102
2010;29/12/2010 17:34;3;RETIRO;29/12/2010 19:18;3;RETIRO;104
2010;29/12/2010 17:33;7;PLAZA ROMA;29/12/2010 17:50;6;DERECHO;17
2010;29/12/2010 17:32;5;ADUANA;29/12/2010 19:12;5;ADUANA;100
2010;29/12/2010 17:32;5;ADUANA;29/12/2010 19:11;5;ADUANA;99
2010;29/12/2010 17:31;5;ADUANA;29/12/2010 19:24;5;ADUANA;114
2010;29/12/2010 17:29;3;RETIRO;29/12/2010 17:50;6;DERECHO;21
2010;29/12/2010 17:26;7;PLAZA ROMA;29/12/2010 17:49;3;RETIRO;23
2010;29/12/2010 17:20;5;ADUANA;29/12/2010 17:38;3;RETIRO;17
2010;29/12/2010 17:20;7;PLAZA ROMA;29/12/2010 17:31;3;RETIRO;11
2010;29/12/2010 17:19;5;ADUANA;29/12/2010 17:49;6;DERECHO;30
