ID;OBJETO_OBRA;CANTIDAD_OBJETOS;MATERIAL;DENOMINACION_SIMBOLIZA;AUTORES;UBICACION;OBSERVACIONES;DIRECCION_NORMALIZADA;CALLE;ALTURA;BARRIO;COMUNA;CODIGA_POSTAL;CODIGO_POSTAL_ARGENTINO;LATITUD;LONGITUD
1145;BUSTO              ;1;BRONCE                    ;ROBERTO REPETO                         ;BARBERIS, LUIS             ;PLAZA LAVALLE                    ;PLAZA LAVALLE                    ;CORRIENTES AV. 1145                                                   ;CORRIENTES AV.                                 ;1145;MONSERRAT;COMUNA 1;1043;C1043AAL;-34.603694227045764;-58.38292044962602
1146;GRUPO ESCULTORICO  ;1;MARMOL                    ;LA CAZA DEL DELFIN                     ;REPRODUCCION               ;PARQUE GENERAL PAZ               ;PARQUE GENERAL PAZ               ;                                                                      ;                                               ;;;;;;;
1147;GRUPO ESCULTORICO  ;1;BRONCE                    ;LOBA ROMANA                            ;REPRODUCCION               ;JARDIN BOTANICO                  ;JARDIN BOTANICO                  ;SANTA FE AV. 3951                                                     ;SANTA FE AV.                                   ;3951;PALERMO;COMUNA 14;1425;C1425BHB;-34.58373108070923;-58.41788399273957
1148;BUSTO Y BASE       ;1;BRONCE Y MAMPOSTERIA      ;ABDON CALDERON                         ;CHAQUINGA, J.              ;PLAZA LAVALLE                    ;PLAZA LAVALLE                    ;CORRIENTES AV. 1145                                                   ;CORRIENTES AV.                                 ;1145;;COMUNA 1;1043;C1043AAL;-34.603694227045764;-58.38292044962602
1149;ESTATUA            ;1;MARMOL                    ;PALAS ATENEA                           ;REPRODUCCION               ;PARQUE LEZAMA                    ;PARQUE LEZAMA                    ;PASEO COLON AV. 1503                                                  ;PASEO COLON AV.                                ;1503;LINIERS;COMUNA 4;1063;C1063ADC;-34.62520921867097;-58.36797836195892
1150;ESTATUA            ;1;MARMOL                    ;EL INVIERNO                            ;REPRODUCCION               ;PARQUE LEZAMA                    ;PARQUE LEZAMA                    ;PASEO COLON AV. 1503                                                  ;PASEO COLON AV.                                ;1503;;COMUNA 4;1063;C1063ADC;-34.62520921867097;-58.36797836195892
1151;ESTATUA            ;1;MARMOL                    ;EL INVIERNO                            ;REPRODUCCION               ;PARQUE ESPA??A                 ;PARQUE ESPA?A                 ;BAIGORRI Y CASEROS AV.                                                ;BAIGORRI                                       ;;;COMUNA 4;;;-34.633349652005904;-58.387273726884345
1152;ESTATUA            ;1;TERRACOTA                 ;LA SABIDURIA                           ;REPRODUCCION               ;CANTERO CENTRAL PROV.DE MISIONES ;CANTERO CENTRAL PROV.DE MISIONES ;                                                                      ;                                               ;;;;;;;
1153;ESTATUA            ;1;TERRACOTA                 ;LA VIRTUD                              ;REPRODUCCION               ;CANTERO CENTRAL PROV.DE MISIONES ;CANTERO CENTRAL PROV.DE MISIONES ;                                                                      ;                                               ;;;;;;;
1154;ESTATUA            ;1;MARMOL                    ;LA COSECHA                             ;REPRODUCCION               ;PZTA. FRANSISCO DI CARO          ;PZTA. FRANSISCO DI CARO          ;                                                                      ;                                               ;;SAN NICOLAS;;;;;
