ID;OBJETO_OBRA;CANTIDAD_OBJETOS;MATERIAL;DENOMINACION_SIMBOLIZA;AUTORES;UBICACION;OBSERVACIONES;DIRECCION_NORMALIZADA;CALLE;ALTURA;BARRIO;COMUNA;CODIGA_POSTAL;CODIGO_POSTAL_ARGENTINO;LATITUD;LONGITUD
2080;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;NOMENCLATURA DEL PASEO                 ;                           ;DEL LIBARTADOR AV 3101           ;DEL LIBARTADOR AV 3101           ;DEL LIBERTADOR AV. 3101                                               ;DEL LIBERTADOR AV.                             ;3101;PALERMO;COMUNA 14;1425;C1425ABE;-34.57642343306996;-58.41177107651361
2081;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE.  LIGURE A CRISTOBAL COLON         ;                           ;PARQUE COLON SUR                 ;PARQUE COLON SUR                 ;                                                                      ;                                               ;;PALERMO;;;;;
2082;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE.A RAMON J. CARCANO                 ;                           ;DEL LIBARTADOR AV 3101           ;DEL LIBARTADOR AV 3101           ;DEL LIBERTADOR AV. 3101                                               ;DEL LIBERTADOR AV.                             ;3101;PALERMO;COMUNA 14;1425;C1425ABE;-34.57642343306996;-58.41177107651361
2083;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE.1∞PLAZA DE TOROS DE MONSERRAT   ;                           ;AVDAS. 9 DE JULIO Y BELGRANO     ;AVDAS. 9 DE JULIO Y BELGRANO     ;                                                                      ;                                               ;;PALERMO;;;;;
2084;PLACA Y MONOLITO   ;1;BLINDEX Y MAMPOSTERIA     ;HJE.A SAN FRANCISCO DE PAOLA           ;                           ;AVDAS. T.A.RODRIGUEZ Y A.VILLAFLO;AVDAS. T.A.RODRIGUEZ Y A.VILLAFLO;                                                                      ;                                               ;;PALERMO;;;;;
2085;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE.A PROVINCIAS ARGENTINAS            ;                           ;DEL LIBARTADOR AV 3101           ;DEL LIBARTADOR AV 3101           ;DEL LIBERTADOR AV. 3101                                               ;DEL LIBERTADOR AV.                             ;3101;;COMUNA 14;1425;C1425ABE;-34.57642343306996;-58.41177107651361
2086;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE.SADAIC A CARLOS GARDEL             ;                           ;DEL LIBARTADOR AV 3101           ;DEL LIBARTADOR AV 3101           ;DEL LIBERTADOR AV. 3101                                               ;DEL LIBERTADOR AV.                             ;3101;;COMUNA 14;1425;C1425ABE;-34.57642343306996;-58.41177107651361
2087;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;RECORDATORIO                           ;                           ;AV.9 DE JULIO Y BARTOLOME MITRE  ;AV.9 DE JULIO Y BARTOLOME MITRE  ;                                                                      ;                                               ;;PALERMO;;;;;
2088;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE.A EVA PERON                        ;                           ;DEL LIBARTADOR AV 3101           ;DEL LIBARTADOR AV 3101           ;DEL LIBERTADOR AV. 3101                                               ;DEL LIBERTADOR AV.                             ;3101;;COMUNA 14;1425;C1425ABE;-34.57642343306996;-58.41177107651361
2089;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE.AL DR.RAWSON DE CRUZ ROJA ARGENTINA;                           ;DEL LIBARTADOR AV 3101           ;DEL LIBARTADOR AV 3101           ;DEL LIBERTADOR AV. 3101                                               ;DEL LIBERTADOR AV.                             ;3101;PALERMO;COMUNA 14;1425;C1425ABE;-34.57642343306996;-58.41177107651361
2090;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. CENTENARIO                        ;                           ;CERRITO Y VIAMONTE               ;CERRITO Y VIAMONTE               ;                                                                      ;                                               ;;PALERMO;;;;;
2091;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE.A MIGUEL A. ZABALA ORTIZ           ;                           ;DEL LIBARTADOR AV 3101           ;DEL LIBARTADOR AV 3101           ;DEL LIBERTADOR AV. 3101                                               ;DEL LIBERTADOR AV.                             ;3101;;COMUNA 14;1425;C1425ABE;-34.57642343306996;-58.41177107651361
2092;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. A CORNELIO SAAVEDRA               ;                           ;PZTA.REGIMIENTO 1*DE PATRICIOS   ;PZTA.REGIMIENTO 1*DE PATRICIOS   ;SANTA FE AV. 4815                                                     ;SANTA FE AV.                                   ;4815;PALERMO;COMUNA 14;1425;C1425BHK;-34.57722853104102;-58.42860423783285
2093;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. A CORNELIO SAAVEDRA               ;                           ;PZTA.REGIMIENTO 1*DE PATRICIOS   ;PZTA.REGIMIENTO 1*DE PATRICIOS   ;SANTA FE AV. 4815                                                     ;SANTA FE AV.                                   ;4815;;COMUNA 14;1425;C1425BHK;-34.57722853104102;-58.42860423783285
2094;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE.A MIGUEL A. ZABALA ORTIZ           ;                           ;DEL LIBARTADOR AV 3101           ;DEL LIBARTADOR AV 3101           ;DEL LIBERTADOR AV. 3101                                               ;DEL LIBERTADOR AV.                             ;3101;;COMUNA 14;1425;C1425ABE;-34.57642343306996;-58.41177107651361
2095;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. 150∞ ANIV. REVOLUCION DE MAYO  ;                           ;PZTA.REGIMIENTO 1*DE PATRICIOS   ;PZTA.REGIMIENTO 1*DE PATRICIOS   ;SANTA FE AV. 4815                                                     ;SANTA FE AV.                                   ;4815;PALERMO;COMUNA 14;1425;C1425BHK;-34.57722853104102;-58.42860423783285
2096;PLACAS             ;1;BRONCE                    ;HJES.A JOSE GARIBALDI                  ;                           ;DEL LIBARTADOR AV 3101           ;DEL LIBARTADOR AV 3101           ;DEL LIBERTADOR AV. 3101                                               ;DEL LIBERTADOR AV.                             ;3101;PALERMO;COMUNA 14;1425;C1425ABE;-34.57642343306996;-58.41177107651361
2097;PLACA Y MONOLITO   ;1;MARMOL Y MAMPOSTERIA      ;HJE. A LISANDRO DE LA TORRE            ;                           ;ESMERALDA Y J.D.PERON            ;ESMERALDA Y J.D.PERON            ;                                                                      ;                                               ;;;;;;;
2098;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. DE SIRIA A LA ARGENTINA           ;                           ;PZTA. DR. CARLOS ALBERTO ERRO    ;PZTA. DR. CARLOS ALBERTO ERRO    ;                                                                      ;                                               ;;PALERMO;;;;;
2099;RELIEVE            ;1;BRONCE                    ;CANTO LIRICO                           ;                           ;DEL LIBARTADOR AV 3101           ;DEL LIBARTADOR AV 3101           ;DEL LIBERTADOR AV. 3101                                               ;DEL LIBERTADOR AV.                             ;3101;PALERMO;COMUNA 14;1425;C1425ABE;-34.57642343306996;-58.41177107651361
2100;RELIEVE            ;1;BRONCE                    ;LA DANZA                               ;                           ;DEL LIBARTADOR AV 3101           ;DEL LIBARTADOR AV 3101           ;DEL LIBERTADOR AV. 3101                                               ;DEL LIBERTADOR AV.                             ;3101;;COMUNA 14;1425;C1425ABE;-34.57642343306996;-58.41177107651361
2101;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. AL HIDROAVION SANTA MARIA         ;                           ;PZTA. JOSE RAZZANO               ;PZTA. JOSE RAZZANO               ;                                                                      ;                                               ;;PALERMO;;;;;
2102;RELIEVE            ;1;BRONCE                    ;EL TEATRO                              ;                           ;DEL LIBARTADOR AV 3101           ;DEL LIBARTADOR AV 3101           ;DEL LIBERTADOR AV. 3101                                               ;DEL LIBERTADOR AV.                             ;3101;PALERMO;COMUNA 14;1425;C1425ABE;-34.57642343306996;-58.41177107651361
2103;RETRATO            ;1;LITOGRAFIA ENMARCADA      ;GENERAL JOSE DE SAN MARTIN             ;                           ;DEL LIBARTADOR AV 3101           ;DEL LIBARTADOR AV 3101           ;DEL LIBERTADOR AV. 3101                                               ;DEL LIBERTADOR AV.                             ;3101;PALERMO;COMUNA 14;1425;C1425ABE;-34.57642343306996;-58.41177107651361
2104;SURTIDOR (CISNE)   ;1;HIERRO FUNDIDO            ;MOTIVO DECORATIVO                      ;                           ;DEL LIBARTADOR AV 3101           ;DEL LIBARTADOR AV 3101           ;DEL LIBERTADOR AV. 3101                                               ;DEL LIBERTADOR AV.                             ;3101;PALERMO;COMUNA 14;1425;C1425ABE;-34.57642343306996;-58.41177107651361
2105;SURTIDOR (SIRENA)  ;1;HIERRO FUNDIDO            ;MOTIVO DECORATIVO                      ;                           ;DEL LIBARTADOR AV 3101           ;DEL LIBARTADOR AV 3101           ;DEL LIBERTADOR AV. 3101                                               ;DEL LIBERTADOR AV.                             ;3101;PALERMO;COMUNA 14;1425;C1425ABE;-34.57642343306996;-58.41177107651361
2106;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. A CORNELIO SAAVENDRA              ;                           ;PZTA.REGIMIENTO 1*DE PATRICIOS   ;PZTA.REGIMIENTO 1*DE PATRICIOS   ;SANTA FE AV. 4815                                                     ;SANTA FE AV.                                   ;4815;PALERMO;COMUNA 14;1425;C1425BHK;-34.57722853104102;-58.42860423783285
2107;SURTIDOR (TORTUGA) ;1;HIERRO FUNDIDO            ;MOTIVO DECORATIVO                      ;                           ;DEL LIBARTADOR AV 3101           ;DEL LIBARTADOR AV 3101           ;DEL LIBERTADOR AV. 3101                                               ;DEL LIBERTADOR AV.                             ;3101;;COMUNA 14;1425;C1425ABE;-34.57642343306996;-58.41177107651361
2108;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. A H. BOUCHARD DE LA ARMADA        ;                           ;PZTA.  HIPOLITO BOUCHARD         ;PZTA.  HIPOLITO BOUCHARD         ;                                                                      ;                                               ;;;;;;;
2109;JARRON             ;1;HIERRO FUNDIDO            ;MOTIVO DECORATIVO                      ;                           ;DEL LIBARTADOR AV 3101           ;DEL LIBARTADOR AV 3101           ;DEL LIBERTADOR AV. 3101                                               ;DEL LIBERTADOR AV.                             ;3101;PALERMO;COMUNA 14;1425;C1425ABE;-34.57642343306996;-58.41177107651361
2110;MONOLITO Y PLACA   ;1;BRONCE Y GRANITO          ;HJE. A MARIANO MORENO                  ;                           ;DEL LIBARTADOR AV 3101           ;DEL LIBARTADOR AV 3101           ;DEL LIBERTADOR AV. 3101                                               ;DEL LIBERTADOR AV.                             ;3101;PALERMO;COMUNA 14;1425;C1425ABE;-34.57642343306996;-58.41177107651361
2111;PLACA              ;1;BRONCE                    ;HJE. AL GRL HILARIO LAGOS              ;                           ;DEL LIBARTADOR AV 3101           ;DEL LIBARTADOR AV 3101           ;DEL LIBERTADOR AV. 3101                                               ;DEL LIBERTADOR AV.                             ;3101;;COMUNA 14;1425;C1425ABE;-34.57642343306996;-58.41177107651361
2112;PLACA              ;1;MARMOL                    ;HJE. A LOS MARTIRES DE TRELEW          ;                           ;DEL LIBARTADOR AV 3101           ;DEL LIBARTADOR AV 3101           ;DEL LIBERTADOR AV. 3101                                               ;DEL LIBERTADOR AV.                             ;3101;PALERMO;COMUNA 14;1425;C1425ABE;-34.57642343306996;-58.41177107651361
2113;PLACA              ;1;MARMOL                    ;HJE..ASOCIACION SARMIENTINA A SARMIENTO;                           ;DEL LIBARTADOR AV 3101           ;DEL LIBARTADOR AV 3101           ;DEL LIBERTADOR AV. 3101                                               ;DEL LIBERTADOR AV.                             ;3101;PALERMO;COMUNA 14;1425;C1425ABE;-34.57642343306996;-58.41177107651361
2114;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE.A LUCIANO F. MOLINAS               ;                           ;PASEO LUCIANO F. MOLINAS         ;PASEO LUCIANO F. MOLINAS         ;                                                                      ;                                               ;;PALERMO;;;;;
2115;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. A MARIANO MORENO                  ;                           ;DEL LIBARTADOR AV 3101           ;DEL LIBARTADOR AV 3101           ;DEL LIBERTADOR AV. 3101                                               ;DEL LIBERTADOR AV.                             ;3101;PALERMO;COMUNA 14;1425;C1425ABE;-34.57642343306996;-58.41177107651361
2116;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. A MARIANO MORENO                  ;                           ;DEL LIBARTADOR AV 3101           ;DEL LIBARTADOR AV 3101           ;DEL LIBERTADOR AV. 3101                                               ;DEL LIBERTADOR AV.                             ;3101;PALERMO;COMUNA 14;1425;C1425ABE;-34.57642343306996;-58.41177107651361
2117;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;DR. RAIMUNDI                           ;                           ;HOSPITAL MUNICIPAL ALVEAR        ;HOSPITAL MUNICIPAL ALVEAR        ;WARNES AV. 2630                                                       ;WARNES AV.                                     ;2630;PALERMO;COMUNA 15;1427;C1427DPS;-34.597121314340825;-58.47588875807253
2118;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. AL POLICLINICO                    ;                           ;HOSPITAL MUNICIPAL ALVEAR        ;HOSPITAL MUNICIPAL ALVEAR        ;WARNES AV. 2630                                                       ;WARNES AV.                                     ;2630;;COMUNA 15;1427;C1427DPS;-34.597121314340825;-58.47588875807253
2119;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. A FEDERICO GARCIA LORCA           ;                           ;PZTA. FEDERICO GARCIA LORCA      ;PZTA. FEDERICO GARCIA LORCA      ;                                                                      ;                                               ;;PALERMO;;;;;
2120;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. A CONSTANCIO C. VIGIL             ;                           ;DEL LIBARTADOR AV 3101           ;DEL LIBARTADOR AV 3101           ;DEL LIBERTADOR AV. 3101                                               ;DEL LIBERTADOR AV.                             ;3101;PALERMO;COMUNA 14;1425;C1425ABE;-34.57642343306996;-58.41177107651361
2121;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;GRL. JOSE DE SAN MARTIN                ;                           ;DEL LIBARTADOR AV 3101           ;DEL LIBARTADOR AV 3101           ;DEL LIBERTADOR AV. 3101                                               ;DEL LIBERTADOR AV.                             ;3101;PALERMO;COMUNA 14;1425;C1425ABE;-34.57642343306996;-58.41177107651361
2122;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;NOMENCLATURA DE PLAZOLETA              ;                           ;PZTA. LIBANO                     ;PZTA. LIBANO                     ;GUALEGUAYCHU 3701                                                     ;GUALEGUAYCHU                                   ;3701;PALERMO;COMUNA 11;1419;C1419BKE;-34.602262969533825;-58.512900195716654
2123;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;NOMENCLATURA DE PLAZOLETA              ;                           ;PZTA. SIRIA                      ;PZTA. SIRIA                      ;                                                                      ;                                               ;;PALERMO;;;;;
2124;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. IV CENTENARIO FUNDACION BS. AS.   ;                           ;DEL LIBARTADOR AV 3101           ;DEL LIBARTADOR AV 3101           ;DEL LIBERTADOR AV. 3101                                               ;DEL LIBERTADOR AV.                             ;3101;;COMUNA 14;1425;C1425ABE;-34.57642343306996;-58.41177107651361
2125;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. A MANUEL A. SARRATEA              ;                           ;AV.JUAN B.JUSTO Y TERRADA        ;AV.JUAN B.JUSTO Y TERRADA        ;                                                                      ;                                               ;;PALERMO;;;;;
2126;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. AL INDIO                          ;                           ;PARQUE LOS ANDES                 ;PARQUE LOS ANDES                 ;NEWBERY, JORGE AV. 4100                                               ;NEWBERY, JORGE AV.                             ;4100;PALERMO;COMUNA 15;1427;C1427EGT;-34.58861484431831;-58.45066409316981
2127;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. AL IV∞ CENTENARIO              ;                           ;DEL LIBARTADOR AV 3101           ;DEL LIBARTADOR AV 3101           ;DEL LIBERTADOR AV. 3101                                               ;DEL LIBERTADOR AV.                             ;3101;PATERNAL;COMUNA 14;1425;C1425ABE;-34.57642343306996;-58.41177107651361
2128;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. AL EXODO JUJE?O                ;                           ;PZTA. EXODO JUJE??O            ;PZTA. EXODO JUJE?O            ;GANDARA Y BAUNESS                                                     ;GANDARA                                        ;;PATERNAL;COMUNA 15;;;-34.58344547982338;-58.48122052083733
2129;JARRON             ;2;HIERRO FUNDIDO            ;MOTIVOS DECORATIVOS                    ;                           ;DEL LIBARTADOR AV 3101           ;DEL LIBARTADOR AV 3101           ;DEL LIBERTADOR AV. 3101                                               ;DEL LIBERTADOR AV.                             ;3101;;COMUNA 14;1425;C1425ABE;-34.57642343306996;-58.41177107651361
2130;MONUMENTO          ;1;CEDRO                     ;TOTEM CANADIENSE                       ;                           ;DEL LIBARTADOR AV 3101           ;DEL LIBARTADOR AV 3101           ;DEL LIBERTADOR AV. 3101                                               ;DEL LIBERTADOR AV.                             ;3101;PALERMO;COMUNA 14;1425;C1425ABE;-34.57642343306996;-58.41177107651361
2131;FIGURA             ;1;HIERRO FUNDIDO            ;LEON                                   ;                           ;DEL LIBARTADOR AV 3101           ;DEL LIBARTADOR AV 3101           ;DEL LIBERTADOR AV. 3101                                               ;DEL LIBERTADOR AV.                             ;3101;PALERMO;COMUNA 14;1425;C1425ABE;-34.57642343306996;-58.41177107651361
2132;FIGURA             ;1;HIERRO FUNDIDO            ;TIGRE                                  ;                           ;DEL LIBARTADOR AV 3101           ;DEL LIBARTADOR AV 3101           ;DEL LIBERTADOR AV. 3101                                               ;DEL LIBERTADOR AV.                             ;3101;VILLA DEVOTO;COMUNA 14;1425;C1425ABE;-34.57642343306996;-58.41177107651361
2133;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. AL PADRE GASPAR CA?ADA         ;                           ;PZTA. PADRE GASPAR CA??ADA     ;PZTA. PADRE GASPAR CA?ADA     ;                                                                      ;                                               ;;;;;;;
2134;FIGURA             ;1;ZINC                      ;MUJER CON CANTARO                      ;                           ;DEL LIBARTADOR AV 3101           ;DEL LIBARTADOR AV 3101           ;DEL LIBERTADOR AV. 3101                                               ;DEL LIBERTADOR AV.                             ;3101;PALERMO;COMUNA 14;1425;C1425ABE;-34.57642343306996;-58.41177107651361
2135;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE.AL DR.ROBERTO KOCH                 ;                           ;PZTA. DR.ROBERTO KOCH            ;PZTA. DR.ROBERTO KOCH            ;                                                                      ;                                               ;;;;;;;
2136;SURTIDORES (SAPOS) ;14;BRONCE                    ;MOTIVOS DECORATIVOS                    ;                           ;DEL LIBARTADOR AV 3101           ;DEL LIBARTADOR AV 3101           ;DEL LIBERTADOR AV. 3101                                               ;DEL LIBERTADOR AV.                             ;3101;CHACARITA;COMUNA 14;1425;C1425ABE;-34.57642343306996;-58.41177107651361
2137;PLACA              ;1;MARMOL                    ;HJE.105∞ANIV. FUNDACION BOCA JRS.   ;D.G.O.P.                   ;SUAREZ 100                       ;SUAREZ 100                       ;SUAREZ 100                                                            ;SUAREZ                                         ;100;PALERMO;COMUNA 4;1162;C1162AEB;-34.63372985080583;-58.35477598861845
2138;PLACA              ;1;MARMOL                    ;HJE. FUNDACION CLUB BOCA JRS.          ;                           ;SUAREZ 100                       ;SUAREZ 100                       ;SUAREZ 100                                                            ;SUAREZ                                         ;100;PARQUE CHAS;COMUNA 4;1162;C1162AEB;-34.63372985080583;-58.35477598861845
2139;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. FUNDACION CLUB BOCA JRS.          ;                           ;SUAREZ 100                       ;SUAREZ 100                       ;SUAREZ 100                                                            ;SUAREZ                                         ;100;PALERMO;COMUNA 4;1162;C1162AEB;-34.63372985080583;-58.35477598861845
2140;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. A SOCIOS DE BOCA JUNIORS          ;                           ;SUAREZ 100                       ;SUAREZ 100                       ;SUAREZ 100                                                            ;SUAREZ                                         ;100;PALERMO;COMUNA 4;1162;C1162AEB;-34.63372985080583;-58.35477598861845
2141;PLACA              ;1;MARMOL                    ;HJE.120∞ANIV.INAUGURACION PLAZA SOLI;                           ;SUAREZ 100                       ;SUAREZ 100                       ;SUAREZ 100                                                            ;SUAREZ                                         ;100;PALERMO;COMUNA 4;1162;C1162AEB;-34.63372985080583;-58.35477598861845
2142;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE.VILLA DE LAS CATALINAS             ;                           ;PZTA. VILLA DE LAS CATALINAS     ;PZTA. VILLA DE LAS CATALINAS     ;                                                                      ;                                               ;;PALERMO;;;;;
2143;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;NOMENCLATURA LA NAVEGACION             ;D.G.O.M                    ;PLAZA SUD AMERICA                ;PLAZA SUD AMERICA                ;PIEDRA BUENA AV. 4900                                                 ;PIEDRA BUENA AV.                               ;4900;;COMUNA 8;1439;C1439GWS;-34.68747427997385;-58.47539139076213
2144;PLACA              ;1;BRONCE                    ;HOMENAJE                               ;                           ;PLAZA SUD AMERICA                ;PLAZA SUD AMERICA                ;PIEDRA BUENA AV. 4900                                                 ;PIEDRA BUENA AV.                               ;4900;PALERMO;COMUNA 8;1439;C1439GWS;-34.68747427997385;-58.47539139076213
2145;PLACA C/ ACOPLAMIEN;1;BRONCE                    ;HJE. 1∞ AERODROMO ARGENTINO         ;                           ;PLAZA SUD AMERICA                ;PLAZA SUD AMERICA                ;PIEDRA BUENA AV. 4900                                                 ;PIEDRA BUENA AV.                               ;4900;;COMUNA 8;1439;C1439GWS;-34.68747427997385;-58.47539139076213
2146;MASTIL             ;1;HIERRO                    ;HOMENAJE A LA BANDERA                  ;                           ;PLAZA SUD AMERICA                ;PLAZA SUD AMERICA                ;PIEDRA BUENA AV. 4900                                                 ;PIEDRA BUENA AV.                               ;4900;PALERMO;COMUNA 8;1439;C1439GWS;-34.68747427997385;-58.47539139076213
2147;TEMPLETE           ;1;HORMIGON ARMADO           ;IMAGEN PURISIMO CORAZON DE MARIA       ;FERRARI, JUAN              ;                                 ;                                 ;                                                                      ;                                               ;;BOCA;;;;;
2148;ANTENA             ;1;HIERRO                    ;HJE. A LA BANDERA                      ;D.G.M                      ;AV. FRANCISCO BEIRÛ 4800      ;AV. FRANCISCO BEIRÛ 4800      ;BEIRO, FRANCISCO AV. 4800                                             ;BEIRO, FRANCISCO AV.                           ;4800;BOCA;COMUNA 11;1419;C1419HZW;-34.60972234934791;-58.51794236942546
2149;ESTATUA            ;1;MATERIAL RECONSTITUIDO    ;LA MADRE                               ;LUNA, MARY LUZ             ;AV. FRANCISCO BEIRÛ 4800      ;AV. FRANCISCO BEIRÛ 4800      ;BEIRO, FRANCISCO AV. 4800                                             ;BEIRO, FRANCISCO AV.                           ;4800;BOCA;COMUNA 11;1419;C1419HZW;-34.60972234934791;-58.51794236942546
2150;PLACA Y MONOLITO   ;1;CEMENTO PATINADO          ;HJE. AL TTE.GRAL.PABLO RICCHIERI       ;M.O.A.                     ;AV. FRANCISCO BEIRÛ 4800      ;AV. FRANCISCO BEIRÛ 4800      ;BEIRO, FRANCISCO AV. 4800                                             ;BEIRO, FRANCISCO AV.                           ;4800;BOCA;COMUNA 11;1419;C1419HZW;-34.60972234934791;-58.51794236942546
2151;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. AL 70 ANIVERSARIO DE VILLA LURO   ;                           ;PZTA.  TTE.GRAL. ARANA           ;PZTA.  TTE.GRAL. ARANA           ;                                                                      ;                                               ;;BOCA;;;;;
2152;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. AL GENERAL RICCHIERI              ;                           ;PLAZA TTE. GRAL. RICCHIERI       ;PLAZA TTE. GRAL. RICCHIERI       ;BEIRO, FRANCISCO AV. 4800                                             ;BEIRO, FRANCISCO AV.                           ;4800;;COMUNA 11;1419;C1419HZW;-34.60972234934791;-58.51794236942546
2153;MASTIL             ;1;HIERRO Y MAMPOSTERIA      ;HOMENAJE A LA BANDERA                  ;D.A.O.M.                   ;                                 ;                                 ;                                                                      ;                                               ;;VILLA RIACHUELO;;;;;
2154;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. AL ALTE. G. BROWN                 ;                           ;PZTA. JOSE RAZZANO               ;PZTA. JOSE RAZZANO               ;                                                                      ;                                               ;;VILLA RIACHUELO;;;;;
2155;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. A HIPOLITO BOUCHARD               ;                           ;PZTA.  HIPOLITO BOUCHARD         ;PZTA.  HIPOLITO BOUCHARD         ;                                                                      ;                                               ;;VILLA RIACHUELO;;;;;
2156;PLACA Y MONOLITO   ;1;CEMENTO PATINADO          ;HJE. AL CENTENARIO DE VILLA PUEYRREDON ;M.O.A.                     ;                                 ;                                 ;                                                                      ;                                               ;;VILLA RIACHUELO;;;;;
2157;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE.AL BRIG.GRL.J.M.DE PUEYRREDON      ;                           ;                                 ;                                 ;                                                                      ;                                               ;;;;;;;
2158;PLACAS             ;2;BRONCE                    ;HOMENAJE A LAS VICTIMAS DE LA FIEBRE AM;                           ;PARQUE AMEGHINO                  ;PARQUE AMEGHINO                  ;                                                                      ;                                               ;;VILLA DEVOTO;;;;;
2159;BUSTO              ;1;CEMENTO PATINADO          ;GENERAL JOSE DE SAN MARTIN             ;GURRIERI, BLAS SALVADOR    ;PLAZA UNIDAD LATINOAMERICANA     ;PLAZA UNIDAD LATINOAMERICANA     ;EL SALVADOR 4037                                                      ;EL SALVADOR                                    ;4037;VILLA DEVOTO;COMUNA 14;1175;C1175ACE;-34.59272342238118;-58.419948622707814
2160;PLACAS             ;2;BRONCE                    ;HJES. A GRL. SIMON BOLIVAR             ;                           ;PARQUE RIVADAVIA                 ;PARQUE RIVADAVIA                 ;RIVADAVIA AV. 4800                                                    ;RIVADAVIA AV.                                  ;4800;VILLA DEVOTO;COMUNA 6;1424;C1424CEP;-34.61672965517955;-58.432717209488374
2161;PLACAS             ;2;BRONCE                    ;MOTIVO DECORATIVO                      ;                           ;PARQUE COLON SUR                 ;PARQUE COLON SUR                 ;                                                                      ;                                               ;;;;;;;
2162;BUSTO              ;1;CEMENTO PATINADO          ;JOSE SOLDATI                           ;GURRIERI, BLAS SALVADOR    ;DELFIN GALLO 5746                ;DELFIN GALLO 5746                ;GALLO, DELFIN 5746                                                    ;GALLO, DELFIN                                  ;5746;VILLA DEVOTO;COMUNA 8;1439;C1439IBB;-34.67722311111955;-58.4760755102677
2163;PLACAS             ;3;BRONCE                    ;HJES. A CORNELIO SAAVEDRA              ;                           ;PZTA.REGIMIENTO 1*DE PATRICIOS   ;PZTA.REGIMIENTO 1*DE PATRICIOS   ;SANTA FE AV. 4815                                                     ;SANTA FE AV.                                   ;4815;;COMUNA 14;1425;C1425BHK;-34.57722853104102;-58.42860423783285
2164;MONUMENTO          ;1;CEMENTO PATINADO          ;HUGO DEL CARRIL                        ;TOTO, CARLOS MARIA         ;DELFIN GALLO 5746                ;DELFIN GALLO 5746                ;GALLO, DELFIN 5746                                                    ;GALLO, DELFIN                                  ;5746;;COMUNA 8;1439;C1439IBB;-34.67722311111955;-58.4760755102677
